pid,fms_id,current_phase,current_phase_norm,agency_project_name,forecast_completion,job_open_for_charges
4263,PV234CSV1,Construction,construction,CSV - Clemente Soto Velez - Interior Code Complian,2026-09-10T00:00:00.000,true
4264,PS-312MX,Construction,construction,"REPAIRS & REHAB OF INTERCEPTING SEWERS, MN & BX",2026-03-16T00:00:00.000,true
4265,TLCWOOD,Construction,construction,TLC - NEW OFFICE FACILITY - 24-55 BQE WEST,2027-07-01T00:00:00.000,true
4265,TLCWOOD1,Construction,construction,TLC - NEW OFFICE FACILITY - 24-55 BQE WEST,2027-07-01T00:00:00.000,true
4266,LNCA13MLB,Construction,construction,Muhlenberg Elevator Upgrade,2024-03-06T00:00:00.000,true
4267,HWXF2000B,Close-out,close-out,"1400 Williamsbridge Rd, BX.HVAC Replacement",2026-06-29T00:00:00.000,true
4268,LBC15BWHC,Construction,construction,Bushwick HVAC Upgrade,2027-11-23T00:00:00.000,true
4269,LBM15RDHC,(Completed),completed,RYDER LIBRARY HVAC,2024-09-30T00:00:00.000,false
4270,SE-860,Design,design,"COMBINED SEWER AND WM WORK IN 71 STREET, QUEENS",2031-05-19T00:00:00.000,true
4271,SEK002386,Close-out,close-out,REPLACE COMBINED SEWER & WM PARK PL & UNDERHILL AV,2025-06-26T00:00:00.000,true
4272,HWCURB10,Construction,construction,FY23 Curb contract,2026-08-29T00:00:00.000,true
4273,HED-578,(Completed),completed,Replacement of Dist. Water Main in Mundy Lane,2025-08-19T00:00:00.000,false
4275,S136-383S,(Completed),completed,Staten Island 3 Garage - HVAC Replacement,2024-07-31T00:00:00.000,false
4275,SOLARDOS2,(Completed),completed,Staten Island 3 Garage - HVAC Replacement,2024-07-31T00:00:00.000,false
4276,LNEA14VNT,Construction,construction,Van Nest HVAC Upgrade,2026-07-15T00:00:00.000,true
4277,SER002329,Close-out,close-out,REPLACEMENT SAN SWRS & DIST WMS IN FOREST HILL RD,2026-06-08T00:00:00.000,true
4278,PW195SW2,Construction,construction,80 CENTRE ST. - SIDEWALK REHABILITATION,2026-09-30T00:00:00.000,true
4279,HWS2020K2,Construction,construction,Prior Notice Sidewalks- Brooklyn,2023-09-16T00:00:00.000,true
4280,HWS2021X,(Completed),completed,FY21 Prior Notice Sidewalk contract -Bronx,2025-01-11T00:00:00.000,false
4281,HWS2020Q1,Close-out,close-out,Prior Notice Sidewalks- Queens,2023-02-18T00:00:00.000,true
4283,HED-569,(Completed),completed,"NSTALLATION OF TRUNK MAIN IN BAINBRIDGE AVE., ETC.",2024-11-15T00:00:00.000,false
4285,SANDELEC8,Construction,construction,ERIE BASIN TOW POUND ELECTRICAL (SANDY),2026-10-31T00:00:00.000,true
4286,GKCI05-1A,Construction,construction,GI-DDC Projects-Green Infrastructure,2024-06-04T00:00:00.000,true
4287,HED-560,Construction,construction,RECONSTRUCTION OF E 177 STREET/DEVOE AVENUE,2028-11-29T00:00:00.000,true
4287,HWXP2007,Construction,construction,RECONSTRUCTION OF E 177 STREET/DEVOE AVENUE,2028-11-29T00:00:00.000,true
4288,BED-768B,Design,design,RECONSTRUCTION OF COLUMBIA STREET - PHASE 2,2030-08-30T00:00:00.000,true
4288,HWK700B,Design,design,RECONSTRUCTION OF COLUMBIA STREET - PHASE 2,2030-08-30T00:00:00.000,true
4289,HWQ787B3,(On-hold),on-hold,"SUTTER AVE, ETC - PHASE V (B3)",2031-03-17T00:00:00.000,true
4290,HWR00508,Design,design,AMBOY ROAD IMPROVEMENTS AT ELTINGVILLE CORRIDOR,2029-11-30T00:00:00.000,true
4291,LQRDMASON,Design,design,Ridgewood Roof & Masonry Repair,2028-12-31T00:00:00.000,true
4292,HWRF05R,Construction Procurement,construction procurement,"Replacement of  roof , sprinkler & related repairs",2028-06-27T00:00:00.000,true
4293,LBM15GBRF,Close-out,close-out,Gerritsen Beach Building Envelope Rehabilitation,2025-10-02T00:00:00.000,true
4294,HH112FTRF,Construction,construction,Fort Washington Armory Roof Replacement,2028-04-02T00:00:00.000,true
4296,HWCSCHPKR,Construction,construction,SAFE ROUTES TO SCHOOLS BK & SI,2026-07-31T00:00:00.000,true
4297,HWCSCHPMN,Design,design,SAFE ROUTES TO SCHOOL MANHATTAN,2029-10-30T00:00:00.000,true
4297,MED683,Design,design,SAFE ROUTES TO SCHOOL MANHATTAN,2029-10-30T00:00:00.000,true
4298,BED-828,Design,design,"SAFE ROUTES TO TRANSIT, 86TH S / BED-828",2030-04-28T00:00:00.000,true
4298,HWSRT200E,Design,design,"SAFE ROUTES TO TRANSIT, 86TH S / BED-828",2030-04-28T00:00:00.000,true
4299,HWK1674,Design,design,Flatbush Avenue Downtown Brooklyn Safety Improvements,2030-10-31T00:00:00.000,true
4300,HWK002377,Design,design,"SANITARY SEWERS & WM IN E 72ND ST, AVE L & ROYCE",2029-09-30T00:00:00.000,true
4300,SEK002377,Design,design,"SANITARY SEWERS & WM IN E 72ND ST, AVE L & ROYCE",2029-09-30T00:00:00.000,true
4301,SELCDDC10,Construction,construction,"Sewer Lining Contract, Citywide",2023-12-01T00:00:00.000,true
4302,SEQNS003,Construction,construction,SEWER WHEN & WHERE CONTRACT IN S.E. QUEENS (SECONDARY ID: HWQ1195),2026-07-13T00:00:00.000,true
4303,PV477TEMP,Close-out,close-out,Staten Island Museum - HVAC Upgrade,2025-03-10T00:00:00.000,true
4304,HWS2021Q,Close-out,close-out,FY21 Prior Notice Sidewalk contract - Queens,2025-02-01T00:00:00.000,true
4305,HWS2023K,Construction,construction,FY23 Prior Notice Sidewalk - Brooklyn,2026-05-02T00:00:00.000,true
4306,HWS2023Q,Construction,construction,FY23 Prior Notice Sidewalk - Queens,2026-07-31T00:00:00.000,true
4307,PV302BPH1,(On-hold),on-hold,"SIM Snug Harbor:Construction,Plumbing & Electrical",2028-12-01T00:00:00.000,true
4308,HWPR23MQ,Construction,construction,Simple Upgrades Ped Ramps - Manhattan and Queens,2026-09-15T00:00:00.000,true
4310,PV490-Q3,Construction,construction,"SHC Center Music Hall, Dressing and ADA compliance",2023-09-29T00:00:00.000,true
4311,PV490JNFC,Construction Procurement,construction procurement,NOBLE MARITIME COLLECTION,2028-02-16T00:00:00.000,true
4312,SE-885,Design,design,150TH ST SPINE PHASE 1 STORM SEWER AT BERGEN BASIN,2030-01-24T00:00:00.000,true
4313,SE-885A,(Pending),pending,150 ST SPINE: PHASE II TRUNK SEWER AT BERGEN BASIN,2032-11-27T00:00:00.000,true
4314,SEQPGRD1,Construction,construction,SOUTHEAST QUEENS PRIORITY GRIDS - GROUP 1 (SECONDARY ID: DOTSEQ01),2026-11-11T00:00:00.000,true
4315,SEQPGRD2,Design,design,SOUTHEAST QUEENS PRIORITY GRIDS - GROUP 2 (SECONDARY ID: DOTSEQ02),2029-06-27T00:00:00.000,true
4316,HWQ662G,Design,design,STORM SANITARY SEWER REPL SPRINGFIELD GARDENS,2030-05-17T00:00:00.000,true
4316,SE-862,Design,design,STORM SANITARY SEWER REPL SPRINGFIELD GARDENS,2030-05-17T00:00:00.000,true
4317,PV394AMBR,Construction Procurement,construction procurement,Ambrose Restoration,2028-07-06T00:00:00.000,true
4318,P109STARA,Close-out,close-out,Starlight Park Comfort Station,2023-06-30T00:00:00.000,true
4319,CO302ST,Close-out,close-out,18 RICHMOND TERRACE -  EXTERIOR STEPS RECONSTRUCTI,2023-07-31T00:00:00.000,true
4320,SER200258,Construction,construction,"STORM & SANITARY SEWERS IN ALVERSON AVENUE, SI",2024-03-31T00:00:00.000,true
4321,SE-807,(Completed),completed,STM & SAN SEWERS IN 20 AVE B/T126 ST & US BULKHEAD,2024-10-31T00:00:00.000,false
4322,SEX200400,Construction,construction,STM AND SAN SEWERS IN MINNIEFORD AVENUE AREA,2026-10-08T00:00:00.000,true
4323,HWTRK883,(Cancelled),cancelled,"STORM, HLSS & SANITARY SEWER & WM IN CROPSEY AVE",2029-08-30T00:00:00.000,false
4324,SE-889,Design,design,"North Conduit Avenue between Baisley Boulevard and Guy Brewer Boulevard , Queens, New Storm Sewer",2031-07-03T00:00:00.000,true
4325,CONISPH04,Construction Procurement,construction procurement,"SAN & STRM SEWER, WM IN CONEY ISLAND AREA, PH 4",2029-09-30T00:00:00.000,true
4326,BED-802,Close-out,close-out,"SUNSET PARK GOWANUS CONNECTOR, BK",2025-12-31T00:00:00.000,true
4326,HWK1048D,Close-out,close-out,"SUNSET PARK GOWANUS CONNECTOR, BK",2025-12-31T00:00:00.000,true
4327,ACEDCA702,Construction,construction,METS REPLACEMENT OF 7 AIR HANDLING UNITS,2024-08-31T00:00:00.000,true
4328,LBM18BVOH,Construction,construction,BROWNSVILLE LIBRARY MAJOR RENOVATIONS,2028-07-15T00:00:00.000,true
4329,PV354HVAC,Construction,construction,Roundabout Theatre Company HVAC Upgrade,2023-12-31T00:00:00.000,true
4330,HWK100SBC,Construction,construction,SOUTH BROOKLYN CROSSTOWN SBS,2028-09-03T00:00:00.000,true
4330,SEK002407,Construction,construction,SOUTH BROOKLYN CROSSTOWN SBS,2028-09-03T00:00:00.000,true
4331,PV829HVAC,Design,design,Aaron Davis Hall/Harlem Stage Gatehouse HVAC,2028-10-03T00:00:00.000,true
4332,P-1TREREC,Construction Procurement,construction procurement,Walter Gladwin Recreation Center,2029-09-08T00:00:00.000,true
4333,S136-367,Construction,construction,Staten Island 1 & 3 Garage Construction & Rehab,2026-03-27T00:00:00.000,true
4333,SOLARGR10,Construction,construction,Staten Island 1 & 3 Garage Construction & Rehab,2026-03-27T00:00:00.000,true
4335,HWXP136D,Construction,construction,"GRAND CONCOURSE, PHASE 5",2027-11-03T00:00:00.000,true
4335,SEX002275,Construction,construction,"GRAND CONCOURSE, PHASE 5",2027-11-03T00:00:00.000,true
4337,HWD105-03,Design,design,LIBRARY LANE PROJECT,2030-08-13T00:00:00.000,true
4338,HWHARPADM,(Design Built),design built,Harper Street Administration Building Reconstruction,,true
4339,CRO-AGS,Close-out,close-out,CROTON ABOVE GROUND STRUCTURE AND LANDSCAPING,2026-06-30T00:00:00.000,true
4340,HED-CLUB,Close-out,close-out,CROTON FILTRATION PLANT,2026-06-30T00:00:00.000,true
4341,P-413QCF1,Construction,construction,Queens County Farm Museum Phase 2 Restoration,2027-07-30T00:00:00.000,true
4342,HL82CORHC,Construction,construction,Renovations at Corona Health Center,2026-04-14T00:00:00.000,true
4343,PVDTA-PH2,Construction,construction,Downtown Art-70 East 4th ST.Renovation,2024-04-03T00:00:00.000,true
4345,SEQ002715,Construction,construction,"COMBINED SEWER OUTFALL N. 81ST & 19TH AVE, LAG",2024-02-17T00:00:00.000,true
4347,HWXPRATT,Design,design,Pratt Avenue Retaining Wall and Roadway Recon,2030-03-17T00:00:00.000,true
4347,SEX20049,Design,design,Pratt Avenue Retaining Wall and Roadway Recon,2030-03-17T00:00:00.000,true
4348,F204INFRA,Construction,construction,Fort Totten Infrastructure Upgrade,2028-04-22T00:00:00.000,true
4349,HWPR19MC2,Construction,construction,Complex Upgrades Ped Ramps - Manhattan,2026-09-15T00:00:00.000,true
4350,HWP2020LM,Construction,construction,Complex Ped Ramp Installs - Citywide Landmark Loca,2027-08-10T00:00:00.000,true
4351,HWPR23QX,Construction,construction,Simple Upgrades Ped Ramps - Queens and the Bronx,2026-08-25T00:00:00.000,true
4352,HWPR23Q1,Construction,construction,Simple Upgrades Ped Ramps - Queens,2026-09-15T00:00:00.000,true
4353,HWPR22Q1,Close-out,close-out,Rehabilitation of Standard Ped Ramps- Queens,2025-07-15T00:00:00.000,true
4356,HWPR20Q2,Construction,construction,Pedestrian Ramp Rehabilitation - Queens,2023-10-10T00:00:00.000,true
4357,HWPR20MQX,Construction Procurement,construction procurement,"COMPLEX UPGRADES PED RAMPS - TA IN MANHATTAN, QUEENS AND THE BRONX",2028-07-11T00:00:00.000,true
4358,NEWHJC2,Design,design,NEW CONSTRUCTION HORIZON JUVENILE DETENTION CENTER,2029-04-30T00:00:00.000,true
4360,PW348-74,Close-out,close-out,FUEL TANK REPLACEMENT,2026-01-31T00:00:00.000,true
4361,HED582,Construction,construction,School Safety Phase D- Bronx,2028-06-09T00:00:00.000,true
4361,HWCSCH4D,Construction,construction,School Safety Phase D- Bronx,2028-06-09T00:00:00.000,true
4361,NDF-SCH4D,Construction,construction,School Safety Phase D- Bronx,2028-06-09T00:00:00.000,true
4362,HWKF488R,Close-out,close-out,Hamilton Asphalt roof Replacement,2024-02-01T00:00:00.000,true
4363,SEKDSMH23,Pre-Design,pre-design,Replacement and Rehabilitation of deep sewer manholes,,true
4364,HWX100SBC,Construction,construction,South Bronx East-West Crosstown SBS,2028-10-04T00:00:00.000,true
4365,PV791-TNC,Construction,construction,Theatre for the New City:Roof & Phase 1 HVAC,2026-11-16T00:00:00.000,true
4366,PROCONTRL,Construction,construction,Consulting Services for Project Controls Support,2023-06-30T00:00:00.000,true
4367,HWTRR1,Construction,construction,Trench Restoration - Staten Island,2027-05-28T00:00:00.000,true
4367,SER002333,Construction,construction,Trench Restoration - Staten Island,2027-05-28T00:00:00.000,true
4368,SE849,Pre-Design,pre-design,"Upgrade of the combined sewer, storm sewer, and water mains in southeast Clason Point, bounded by White Plains Road, Soundview Avenue, and Pugsley Creek.",,true
4369,ACEDCA215,Construction Procurement,construction procurement,BCM-HVAC Upgrades,2029-06-25T00:00:00.000,true
4370,PV957DGRW,Construction Procurement,construction procurement,DeGraw Firehouse Renovation,2028-10-01T00:00:00.000,true
4371,PV502-SDW,Construction,construction,JCAL  JPAC  Outdoor Space,2027-12-20T00:00:00.000,true
4372,HED593,Design,design,This project calls for combined sewer replacement and extension and water main replacement in East 142nd Street and Southern Boulevard (see design scope).,2029-05-30T00:00:00.000,true
4373,HWQ788CS,Design,design,Court Square Pedestrian Improvements,2030-09-11T00:00:00.000,true
4373,QED1061,Design,design,Court Square Pedestrian Improvements,2030-09-11T00:00:00.000,true
4374,QED-1056,Construction,construction,"Distribution Water Main replacement work in 43rd Avenue between National Street and 104th Street, as well as other locations listed in Page 3 of the attached CPI. Borough of Queens.",2026-11-03T00:00:00.000,true
4375,QED-1055,Construction,construction,"Distribution Water Main work in Jay Avenue between Borden Avenue and 66th Street, as well as other locations listed in Page 3 of the attached CPI. Borough of Queens.",2024-09-14T00:00:00.000,true
4376,HED605,Design,design,Southern Bronx Multi-Site Safety Improvements,2028-09-15T00:00:00.000,true
4376,HWX404,Design,design,Southern Bronx Multi-Site Safety Improvements,2028-09-15T00:00:00.000,true
4377,HWX406,Design,design,Northwest Bronx School Safety Improvements,2029-09-04T00:00:00.000,true
4377,SEX002274,Design,design,Northwest Bronx School Safety Improvements,2029-09-04T00:00:00.000,true
4378,PV411ITC2,Construction,construction,64 E. Fourth Street Buillding Renovation,2024-02-29T00:00:00.000,true
4379,PO79FDBNX,Close-out,close-out,NYPD: REPLACEMENT OF FRONT DESKS/ BRONX PRECINCTS,2025-10-30T00:00:00.000,true
4380,PO79SHOPR,Construction Procurement,construction procurement,Service Shop #6/72 PCT151 30th Street. Brooklyn NY,2028-09-30T00:00:00.000,true
4382,HWQ121B3,Design,design,RECONSTRUCTION OF SOUTH JAMAICA AREA (SEQ200562),2030-06-24T00:00:00.000,true
4382,SEQ200562,Design,design,RECONSTRUCTION OF SOUTH JAMAICA AREA (SEQ200562),2030-06-24T00:00:00.000,true
4383,HWR00511,Design,design,TRAVIS AVENUE WIDENING,2032-09-01T00:00:00.000,true
4383,RED-372,Design,design,TRAVIS AVENUE WIDENING,2032-09-01T00:00:00.000,true
4383,SER200322,Design,design,TRAVIS AVENUE WIDENING,2032-09-01T00:00:00.000,true
4384,HWTRK1,Construction Procurement,construction procurement,TRENCH RESTORATION BROOKLYN,2029-09-28T00:00:00.000,true
4384,SEK20076,Construction Procurement,construction procurement,TRENCH RESTORATION BROOKLYN,2029-09-28T00:00:00.000,true
4385,HWTRQX1,Close-out,close-out,TRENCH RESTORATION QUEENS & THE BRONX,2025-07-03T00:00:00.000,true
4386,MED-607,Construction,construction,TRUNK WATER MAIN in 2nd Ave. ( SHAFT 32B),2026-10-23T00:00:00.000,true
4387,BED-778A,Close-out,close-out,REPLACEMENT OF TRUNK WATER MAINS IN ATLANTIC AVE,2023-05-31T00:00:00.000,true
4388,BED-776,Construction,construction,WM REPLMT EAST NEW YORK AVE,2026-09-05T00:00:00.000,true
4389,SEK002380,Construction,construction,"COMBINED SEWER AND CHAMBERS IN 7TH STREET, BK",2026-09-30T00:00:00.000,true
4390,HWQ1193,Close-out,close-out,UNION TURNPIKE CENTER MEDIAN REPLACEMENT,2024-08-20T00:00:00.000,true
4391,HL82MANAT,Construction,construction,Manhattan Pet Adoption Center,2024-02-07T00:00:00.000,true
4392,HWPR20KC,Construction Procurement,construction procurement,Complex Upgrades Ped Ramps - Brooklyn,2028-08-01T00:00:00.000,true
4393,HWPR20MKL,Construction,construction,COMPLEX UPGRADES PED RAMPS - LANDMARK IN MANHATTAN AND BROOKLYN,2027-06-25T00:00:00.000,true
4394,HWPR20KMC,Construction,construction,COMPLEX UPGRADES PED RAMPS - BROOKLYN AND MANHATTAN,2027-06-04T00:00:00.000,true
4395,HWPR21XC,Design,design,Upgrades of pedestrian ramps at 51 non-standard locations in the Bronx.,2029-07-24T00:00:00.000,true
4396,HWPR21KRC,Design,design,Upgrading of pedestrian ramps at 51 non standard locations in Brooklyn and Staten Island.,2029-08-30T00:00:00.000,true
4397,HWPR21QC,Design,design,Upgrading of pedestrian ramps at 51 non-standard locations in Queens.,2029-06-17T00:00:00.000,true
4398,HWPR21LMT,Design,design,Upgrading pedestrian ramps at 52 non-standard landmarked locations in Manhattan.,2029-03-27T00:00:00.000,true
4399,HWPR21MTA,Design,design,Upgrading pedestrian ramps at 61 non-standard locations in Manhattan.,2029-09-28T00:00:00.000,true
4400,NDF-IBZ,Construction Procurement,construction procurement,Van Sinderen Avenue Streetscape Improvements,2029-07-19T00:00:00.000,true
4400,SEK002384,Construction Procurement,construction procurement,Van Sinderen Avenue Streetscape Improvements,2029-07-19T00:00:00.000,true
4401,HWQ1190A,Design,design,RECONSTRUCTION OF QUEENS BLVD - PHASE 1,2031-07-18T00:00:00.000,true
4401,QED-1042A,Design,design,RECONSTRUCTION OF QUEENS BLVD - PHASE 1,2031-07-18T00:00:00.000,true
4402,HWQ1190B,Design,design,RECONSTRUCTION OF QUEENS BLVD - PHASE 2,2032-08-28T00:00:00.000,true
4402,QED-1042B,Design,design,RECONSTRUCTION OF QUEENS BLVD - PHASE 2,2032-08-28T00:00:00.000,true
4403,HWQ1190-C,Design,design,RECONSTRUCTION OF QUEENS BLVD - PHASE 3,2034-08-13T00:00:00.000,true
4406,WM-LC-17,Close-out,close-out,"Water Main Lining Contract, Citywide",2026-03-15T00:00:00.000,true
4407,QED-1027,Design,design,"WATER MAIN REPLACEMENT IN 222 STREET, QUEENS",2030-07-13T00:00:00.000,true
4408,MED682,Construction,construction,Water Main work in Central Park West between West 81st Street and West 85th Street and other locations,2028-06-02T00:00:00.000,true
4409,BED-819,Close-out,close-out,"WATERMAIN REPLACEMENT IN ORIENTAL BLVD, BROOKLYN",2025-09-29T00:00:00.000,true
4410,HWQ1182B,Close-out,close-out,BROAD CHANNEL BULKHEADS - PH II,2024-10-19T00:00:00.000,true
4410,SEQ200586,Close-out,close-out,BROAD CHANNEL BULKHEADS - PH II,2024-10-19T00:00:00.000,true
4411,LNXA11WFM,Close-out,close-out,West Farms Entrance & Interior Door ADA Upgrade,2024-11-30T00:00:00.000,true
4412,WTM4SPRW,(Completed),completed,Perform Wetland Mitigation work in Four Sparrow Marsh in the Mill Basin area of Brooklyn.,2024-12-02T00:00:00.000,false
4417,EC-GUN25,(Completed),completed,"Emergency Guniting of Sewers, Citywide",2026-06-30T00:00:00.000,false
4418,EC-LC25KR,(Cancelled),cancelled,"Emergency Sewer Lining Contract, Borough of Brooklyn and Staten Island",2026-06-30T00:00:00.000,false
4420,EC-SEKN25,Construction Procurement,construction procurement,"Reconstruction of Existing Sewers, North Brooklyn",2026-06-25T00:00:00.000,true
4421,EC-SEKS25,(Completed),completed,"Reconstruction of existing sewers, South Brooklyn",2026-06-08T00:00:00.000,false
4422,EC-SER25,(Completed),completed,"Reconstruction of Existing Sewers, the Staten Island",2026-05-18T00:00:00.000,false
4424,HH112BELS,Close-out,close-out,Bellevue Structural Investigation and Stabilization,2025-12-31T00:00:00.000,true
4425,HH112PJPL,Construction,construction,Pamoja House - Plumbing Upgrade,2027-07-14T00:00:00.000,true
4427,HWM100SNC,Design,design,79TH STREET CROSSTOWN SELECT BUS SERVICE,2030-02-27T00:00:00.000,true
4427,MED673,Design,design,79TH STREET CROSSTOWN SELECT BUS SERVICE,2030-02-27T00:00:00.000,true
4428,HWP20MXQC,(Design Built),design built,"Complex Ped Ramp Installs - Manhattan, Queens, & Bronx",,true
4429,HWPR24KQ,Construction,construction,HWPR24 Series Standard Ped Ramp Upgrades,2027-08-03T00:00:00.000,true
4430,HWPR24KR,Construction,construction,HWPR24 Series Standard Ped Ramp Upgrades,2027-08-04T00:00:00.000,true
4431,PV028-ISS,Construction Procurement,construction procurement,Issue Project Room - interior fitout,2028-05-24T00:00:00.000,true
4432,PW7722V,(Completed),completed,22 READE ST - SIDEWALK VAULT RECONSTRUCTION,2024-09-30T00:00:00.000,false
4433,QED1063AC,Construction Procurement,construction procurement,Install Distribution water mains throughout Queens and/or Bronx as directed by Distribution Engineer.,2028-08-29T00:00:00.000,true
4437,EC-SEQN25,(Completed),completed,"Reconstruction of Existing Sewers, North Queens",2026-02-14T00:00:00.000,false
4438,EC-SEX25,(Completed),completed,"Reconstruction of Existing Sewers, the Bronx",2026-03-31T00:00:00.000,false
4439,BBJ-M,(Design Built),design built,DOC New Manhattan Detention Facility,,true
4440,BBJ-Q,(Design Built),design built,BBJ Construction of New Queens Detention Facility,,true
4441,BBJ-X,(Design Built),design built,BBJ Construction of New Bronx Detention Facility,,true
4442,CO299EXT2,Construction Procurement,construction procurement,89-17 SUTPHIN BLVD.- EXTERIOR,2028-03-26T00:00:00.000,true
4443,HW349TOUR,Construction,construction,State Touring Routes Resurfacing contract,2027-07-24T00:00:00.000,true
4444,HWM1688,Design,design,"This project will build out pedestrian improvements at two locations in south Central Harlem. The scope includes sidewalk and curb extensions, raised intersections, and pedestrian ramp upgrades.",2029-09-20T00:00:00.000,true
4444,MED685,Design,design,"This project will build out pedestrian improvements at two locations in south Central Harlem. The scope includes sidewalk and curb extensions, raised intersections, and pedestrian ramp upgrades.",2029-09-20T00:00:00.000,true
4445,HWP22KRC,Design,design,FY24 Non-Standard Pedestrian Ramp Installations - Brooklyn and Staten Island,2029-04-22T00:00:00.000,true
4446,HWP22MXQC,Design,design,"FY24 Non-Standard Pedestrian Ramp Installations - Manhattan, Bronx, and Queens",2029-06-07T00:00:00.000,true
4447,HWPR22KQC,Design,design,Pedestrian Ramp Upgrades at 90 non-standard locations in Brooklyn and Queens.,2029-06-27T00:00:00.000,true
4448,HWPR24MQ,Construction,construction,HWPR24 Series Standard Ped Ramp Upgrades,2027-08-03T00:00:00.000,true
4449,HWPR24QX,Construction,construction,HWPR24 Series Standard Pedestrian Ramp Upgrades,2028-06-03T00:00:00.000,true
4450,HED599,Design,design,This project will add safety and transit access improvements at the intersection of White Plains Road and Mace Avenue. This project will take advantage of work already planned in DEP’s HED-581 project to replace distribution water mains in Mace Ave.,2029-08-14T00:00:00.000,true
4450,HWX411,Design,design,This project will add safety and transit access improvements at the intersection of White Plains Road and Mace Avenue. This project will take advantage of work already planned in DEP’s HED-581 project to replace distribution water mains in Mace Ave.,2029-08-14T00:00:00.000,true
4451,LN18HGHVA,Design,design,HVAC System Replacement,2029-04-30T00:00:00.000,true
4453,P-108VCCS,(Design Built),design built,PARKS New Van Cortland Public Restroom,,true
4454,P-308RPCS,(Design Built),design built,PARKS New Ruppert Park Public Restroom,,true
4455,P-413SCS1,(Design Built),design built,PARKS New Brookville Park Public Restroom,,true
4456,P-4DSTG06,(Design Built),design built,PARKS New Kissena Park Velodrome Public Restroom,,true
4457,P-4QNHSR1,Design,design,Queens Historical Society Construction and Renovation - Archive Creation,2028-05-03T00:00:00.000,true
4458,RWX023,Design,design,This project will reconstruct the Concourse Village West retaining wall (WIN 2-2415-70) and the Concourse Village West roadway from 153rd to 156th Street.,2030-08-14T00:00:00.000,true
5458,EC-SEQS25,(Completed),completed,"Reconstruction of Existing Sewers, South Queens",2026-03-25T00:00:00.000,false
5460,HWCB25KR,Construction,construction,Curb Contracts - Brooklyn and Staten Island.,2027-06-14T00:00:00.000,true
5461,HWCB25QXM,Construction,construction,"The curb contract will repair curbs and install curb in front of private homes and City-owned properties. Repairs may be adjacent to grass-strips, tree pits and sidewalks.",2027-07-17T00:00:00.000,true
5462,HWHARPER,Construction,construction,"Asphalt Plant Demolition, 131-21 Northern Boulevard, Queens",2027-07-01T00:00:00.000,true
5463,HWHARPER,Construction,construction,"Asphalt Plant - Curb & Fence, 131-21 Northern Boulevard, Queens",2026-06-30T00:00:00.000,true
5465,HWK1672,Design,design,WASHINGTON AVE AND OCEAN AVE SAFETY IMPROVEMENTS,2029-03-31T00:00:00.000,true
5466,HWPR24Q1,Construction,construction,HWPR24 Series Standard Ped Ramp Upgrades,2027-08-03T00:00:00.000,true
5468,HWS2024K1,Construction,construction,FY24 Prior Notice Sidewalk - Brooklyn,2027-01-30T00:00:00.000,true
5469,HWS2024M1,Construction,construction,FY24 Prior Notice Sidewalk - Manhattan,2027-04-03T00:00:00.000,true
5470,HWS2024Q1,Construction,construction,FY24 Prior Notice Sidewalk - Queens,2027-06-30T00:00:00.000,true
5472,HWS2024R1,Construction,construction,FY24 Prior Notice Sidewalk - Staten Island,2027-08-21T00:00:00.000,true
5473,HWS23QMWB,(Completed),completed,Prior Notice Sidewalk - MWB (construction only contract),2026-04-04T00:00:00.000,false
5474,LQHP-REM,Close-out,close-out,Hunters Point Library Emergency ADA Modifications,2025-08-06T00:00:00.000,true
5475,LBC17MPGD,Construction Procurement,construction procurement,Mapleton Library Landscape & Exterior Improvements,2028-05-03T00:00:00.000,true
5476,LBC22SAIF,Design,design,Stone Avenue Library Renovation,2029-09-14T00:00:00.000,true
5477,LBM15MPRF,Construction,construction,Mapleton Building Envelope Rehabilitation,2026-04-07T00:00:00.000,true
5478,LBP18LDIN,Design,design,Leonard Library ADA Renovation,2029-03-07T00:00:00.000,true
5480,P-1SDVREC,Design,design,Construction of a New Recreation Center at Soundview Park,2030-03-02T00:00:00.000,true
5481,P-407BHI3,Construction Procurement,construction procurement,Bowne House Interior Renovation,2028-04-21T00:00:00.000,true
5482,SE-842,Construction Procurement,construction procurement,Southeast Queens Initiative Program,2032-07-14T00:00:00.000,true
5604,EC-LC25,(Completed),completed,"Emergency Sewer Lining Contract, Citywide",2026-06-30T00:00:00.000,false
5605,HWKAVEJ81,Design,design,Reconstruction of Ave J and E 81st Street.,2029-12-20T00:00:00.000,true
5605,SEK002398,Design,design,Reconstruction of Ave J and E 81st Street.,2029-12-20T00:00:00.000,true
5606,HWKNBP,Design,design,North Brooklyn Pedestrian Safety and Public Space Improvements,2030-02-19T00:00:00.000,true
5607,HWS2024X1,Construction,construction,FY24 Prior Notice Sidewalks - Bronx,2027-01-10T00:00:00.000,true
5608,HED595,Design,design,This project will reconstruct the E 169th Street step street.,2029-08-14T00:00:00.000,true
5608,HWXS1011,Design,design,This project will reconstruct the E 169th Street step street.,2029-08-14T00:00:00.000,true
5609,LBC22KBIF,Design,design,Kings Bay Library Upgrade,2030-04-20T00:00:00.000,true
5610,QED1060,Design,design,"Installation of trunk water mains and distribution water mains within the boundary of Queens Blvd., 51 Ave., and 67 St.",2031-08-13T00:00:00.000,true
